날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2021-04-16,0,0,0,0,0,0,115200,844800,816000,4080000,5529600,6681600,8265600,8937600,8256000,5990400,3216000,1488000,336000,0,0,0,0,0
2021-04-17,0,0,0,0,0,0,336000,1526400,4156800,7113600,9340800,9417600,10828800,11347200,10742400,8928000,6163200,2976000,528000,0,0,0,0,0
2021-04-18,0,0,0,0,0,0,345600,2256000,5404800,8160000,10060800,11193600,11865600,11548800,10358400,8534400,5923200,2908800,566400,0,0,0,0,0
2021-04-19,0,0,0,0,0,0,364800,1910400,5481600,8016000,9936000,11059200,11424000,11088000,10089600,8361600,5884800,2860800,547200,0,0,0,0,0
2021-04-20,0,0,0,0,0,0,384000,2390400,5145600,7680000,9417600,10396800,10915200,10636800,9763200,7948800,5491200,2659200,528000,0,0,0,0,0
2021-04-21,0,0,0,0,0,0,422400,1900800,2793600,5232000,6758400,9648000,10224000,6892800,3993600,4896000,2784000,1238400,288000,0,0,0,0,0
2021-04-22,0,0,0,0,0,0,105600,748800,1555200,2016000,2208000,1718400,1603200,2025600,1660800,1065600,1219200,1296000,393600,0,0,0,0,0
2021-04-23,0,0,0,0,0,0,268800,1334400,2582400,6182400,8937600,8486400,9744000,9148800,10070400,6249600,5107200,1603200,384000,0,0,0,0,0
2021-04-24,0,0,0,0,0,0,307200,1948800,4809600,7056000,9417600,8764800,10608000,7276800,6412800,6662400,5635200,2880000,470400,0,0,0,0,0
2021-04-25,0,0,0,0,0,0,460800,2467200,5270400,7641600,9312000,10281600,10665600,10416000,9235200,7584000,5385600,2697600,652800,0,0,0,0,0
2021-04-26,0,0,0,0,0,0,576000,2524800,4857600,7238400,9033600,9724800,10128000,10617600,9696000,7939200,5548800,2582400,681600,0,0,0,0,0
2021-04-27,0,0,0,0,0,0,297600,1478400,2265600,2880000,3676800,3427200,4291200,4022400,7795200,6009600,3360000,1363200,220800,0,0,0,0,0
2021-04-28,0,0,0,0,0,0,566400,1459200,912000,4425600,7228800,8524800,8822400,8112000,7008000,6604800,4224000,1536000,412800,0,0,0,0,0
2021-04-29,0,0,0,0,0,0,441600,2198400,4281600,7219200,9225600,10166400,10512000,10166400,9004800,7382400,5097600,2448000,633600,9600,0,0,0,0
2021-04-30,0,0,0,0,0,0,518400,2601600,5625600,8179200,9955200,11059200,11443200,11222400,9696000,8496000,6009600,2467200,345600,0,0,0,0,0
2021-05-01,0,0,0,0,0,0,19200,691200,2755200,4627200,7584000,10771200,11913600,10512000,10435200,8640000,5971200,2956800,681600,9600,0,0,0,0
2021-05-02,0,0,0,0,0,0,499200,1910400,4790400,7094400,5769600,9235200,11760000,11366400,10387200,8726400,6230400,3158400,652800,9600,0,0,0,0
2021-05-03,0,0,0,0,0,0,595200,2870400,5808000,8227200,9830400,10752000,10953600,10723200,9609600,7756800,4262400,1708800,739200,19200,0,0,0,0
